"Step","BPTT - eval/mean_reward","BPTT - eval/mean_reward__MIN","BPTT - eval/mean_reward__MAX"
"100","11.383535385131836","11.383535385131836","11.383535385131836"
"201","11.394949913024902","11.394949913024902","11.394949913024902"
"302","11.395773887634277","11.395773887634277","11.395773887634277"
"403","11.382390022277832","11.382390022277832","11.382390022277832"
"504","11.390436172485352","11.390436172485352","11.390436172485352"
"605","11.389569282531738","11.389569282531738","11.389569282531738"
"706","11.367441177368164","11.367441177368164","11.367441177368164"
"807","11.368830680847168","11.368830680847168","11.368830680847168"
"908","11.381763458251953","11.381763458251953","11.381763458251953"
"1009","11.385677337646484","11.385677337646484","11.385677337646484"
"1110","11.381440162658691","11.381440162658691","11.381440162658691"
"1211","11.367218971252441","11.367218971252441","11.367218971252441"
"1312","11.352460861206055","11.352460861206055","11.352460861206055"
"1413","11.382023811340332","11.382023811340332","11.382023811340332"
"1514","11.365918159484863","11.365918159484863","11.365918159484863"
"1615","11.386868476867676","11.386868476867676","11.386868476867676"
"1716","11.34953498840332","11.34953498840332","11.34953498840332"
"1817","11.38332748413086","11.38332748413086","11.38332748413086"
"1918","11.388254165649414","11.388254165649414","11.388254165649414"
"2019","11.377854347229004","11.377854347229004","11.377854347229004"
"2120","11.360072135925293","11.360072135925293","11.360072135925293"
"2221","11.361054420471191","11.361054420471191","11.361054420471191"
"2322","11.365949630737305","11.365949630737305","11.365949630737305"
"2423","11.37173843383789","11.37173843383789","11.37173843383789"
"2524","11.37158203125","11.37158203125","11.37158203125"
"2625","11.374494552612305","11.374494552612305","11.374494552612305"
"2726","11.376840591430664","11.376840591430664","11.376840591430664"
"2827","11.316244125366211","11.316244125366211","11.316244125366211"
"2928","13.599944114685059","13.599944114685059","13.599944114685059"
"3029","14.356764793395996","14.356764793395996","14.356764793395996"
"3130","14.744839668273926","14.744839668273926","14.744839668273926"
"3231","14.915438652038574","14.915438652038574","14.915438652038574"
"3332","15.121310234069824","15.121310234069824","15.121310234069824"
"3433","15.181510925292969","15.181510925292969","15.181510925292969"
"3534","15.3369779586792","15.3369779586792","15.3369779586792"
"3635","15.4324369430542","15.4324369430542","15.4324369430542"
"3736","15.255945205688477","15.255945205688477","15.255945205688477"
"3837","15.3275728225708","15.3275728225708","15.3275728225708"
"3938","15.419242858886719","15.419242858886719","15.419242858886719"
"4039","15.574645042419434","15.574645042419434","15.574645042419434"
"4140","12.917938232421875","12.917938232421875","12.917938232421875"
"4241","13.954048156738281","13.954048156738281","13.954048156738281"
"4342","14.194958686828613","14.194958686828613","14.194958686828613"
"4443","14.4605131149292","14.4605131149292","14.4605131149292"
"4544","14.691838264465332","14.691838264465332","14.691838264465332"
"4645","14.82458782196045","14.82458782196045","14.82458782196045"
"4746","14.879962921142578","14.879962921142578","14.879962921142578"
"4847","14.947243690490723","14.947243690490723","14.947243690490723"
"4948","14.989692687988281","14.989692687988281","14.989692687988281"
"5049","15.079023361206055","15.079023361206055","15.079023361206055"
"5150","15.108821868896484","15.108821868896484","15.108821868896484"
"5251","15.10595989227295","15.10595989227295","15.10595989227295"
"5352","15.172585487365723","15.172585487365723","15.172585487365723"
"5453","15.248220443725586","15.248220443725586","15.248220443725586"
"5554","15.219182014465332","15.219182014465332","15.219182014465332"
"5655","15.1001615524292","15.1001615524292","15.1001615524292"
"5756","15.334929466247559","15.334929466247559","15.334929466247559"
"5857","15.330303192138672","15.330303192138672","15.330303192138672"
"5958","15.336808204650879","15.336808204650879","15.336808204650879"
"6059","15.061434745788574","15.061434745788574","15.061434745788574"
"6160","15.26777458190918","15.26777458190918","15.26777458190918"
"6261","15.448386192321777","15.448386192321777","15.448386192321777"
"6362","15.316276550292969","15.316276550292969","15.316276550292969"
"6463","15.941600799560547","15.941600799560547","15.941600799560547"
"6564","15.958830833435059","15.958830833435059","15.958830833435059"
"6665","16.047456741333008","16.047456741333008","16.047456741333008"
"6766","16.086145401000977","16.086145401000977","16.086145401000977"
"6867","15.998482704162598","15.998482704162598","15.998482704162598"
"6968","16.07275390625","16.07275390625","16.07275390625"
"7069","15.978550910949707","15.978550910949707","15.978550910949707"
"7170","16.17280387878418","16.17280387878418","16.17280387878418"
"7271","16.214431762695312","16.214431762695312","16.214431762695312"
"7372","16.15692901611328","16.15692901611328","16.15692901611328"
"7473","16.1848087310791","16.1848087310791","16.1848087310791"
"7574","16.284984588623047","16.284984588623047","16.284984588623047"
"7675","15.891571998596191","15.891571998596191","15.891571998596191"
"7776","17.395973205566406","17.395973205566406","17.395973205566406"
"7877","19.001344680786133","19.001344680786133","19.001344680786133"
"7978","19.854175567626953","19.854175567626953","19.854175567626953"
"8079","20.25982093811035","20.25982093811035","20.25982093811035"
"8180","20.513193130493164","20.513193130493164","20.513193130493164"
"8281","20.67135238647461","20.67135238647461","20.67135238647461"
"8382","20.451335906982422","20.451335906982422","20.451335906982422"
"8483","20.701366424560547","20.701366424560547","20.701366424560547"
"8584","21.086563110351562","21.086563110351562","21.086563110351562"
"8685","20.965560913085938","20.965560913085938","20.965560913085938"
"8786","21.102270126342773","21.102270126342773","21.102270126342773"
"8887","21.299840927124023","21.299840927124023","21.299840927124023"
"8988","21.632553100585938","21.632553100585938","21.632553100585938"
"9089","21.623960494995117","21.623960494995117","21.623960494995117"
"9190","21.7396240234375","21.7396240234375","21.7396240234375"
"9291","21.739145278930664","21.739145278930664","21.739145278930664"
"9392","21.901636123657227","21.901636123657227","21.901636123657227"
"9493","21.9506893157959","21.9506893157959","21.9506893157959"
"9594","22.06473159790039","22.06473159790039","22.06473159790039"
"9695","22.124706268310547","22.124706268310547","22.124706268310547"
"9796","22.274824142456055","22.274824142456055","22.274824142456055"
"9897","22.254972457885742","22.254972457885742","22.254972457885742"
"9998","22.200178146362305","22.200178146362305","22.200178146362305"
"10099","22.390880584716797","22.390880584716797","22.390880584716797"
"10200","22.296833038330078","22.296833038330078","22.296833038330078"
"10301","22.175317764282227","22.175317764282227","22.175317764282227"
"10402","22.447647094726562","22.447647094726562","22.447647094726562"
"10503","22.546751022338867","22.546751022338867","22.546751022338867"
"10604","22.4422550201416","22.4422550201416","22.4422550201416"
"10705","22.594316482543945","22.594316482543945","22.594316482543945"
"10806","22.556299209594727","22.556299209594727","22.556299209594727"
"10907","22.64264488220215","22.64264488220215","22.64264488220215"
"11008","22.665761947631836","22.665761947631836","22.665761947631836"
"11109","22.626571655273438","22.626571655273438","22.626571655273438"
"11210","22.749906539916992","22.749906539916992","22.749906539916992"
"11311","22.69890785217285","22.69890785217285","22.69890785217285"
"11412","22.611051559448242","22.611051559448242","22.611051559448242"
"11513","22.708751678466797","22.708751678466797","22.708751678466797"
"11614","22.80658721923828","22.80658721923828","22.80658721923828"
"11715","22.835458755493164","22.835458755493164","22.835458755493164"
"11816","22.842456817626953","22.842456817626953","22.842456817626953"
"11917","22.882200241088867","22.882200241088867","22.882200241088867"
"12018","22.887805938720703","22.887805938720703","22.887805938720703"
"12119","22.88593101501465","22.88593101501465","22.88593101501465"
"12220","22.687700271606445","22.687700271606445","22.687700271606445"
"12321","22.878501892089844","22.878501892089844","22.878501892089844"
"12422","22.875164031982422","22.875164031982422","22.875164031982422"
"12523","22.94803237915039","22.94803237915039","22.94803237915039"
"12624","22.879016876220703","22.879016876220703","22.879016876220703"
"12725","22.964488983154297","22.964488983154297","22.964488983154297"
"12826","22.991342544555664","22.991342544555664","22.991342544555664"
"12927","22.966543197631836","22.966543197631836","22.966543197631836"
"13028","23.010486602783203","23.010486602783203","23.010486602783203"
"13129","22.946317672729492","22.946317672729492","22.946317672729492"
"13230","22.95909881591797","22.95909881591797","22.95909881591797"
"13331","23.03610610961914","23.03610610961914","23.03610610961914"
"13432","22.885313034057617","22.885313034057617","22.885313034057617"
"13533","23.04964828491211","23.04964828491211","23.04964828491211"
"13634","23.05181312561035","23.05181312561035","23.05181312561035"
"13735","23.011999130249023","23.011999130249023","23.011999130249023"
"13836","23.088041305541992","23.088041305541992","23.088041305541992"
"13937","23.08869171142578","23.08869171142578","23.08869171142578"
"14038","23.074594497680664","23.074594497680664","23.074594497680664"
"14139","23.041860580444336","23.041860580444336","23.041860580444336"
"14240","23.079198837280273","23.079198837280273","23.079198837280273"
"14341","23.131763458251953","23.131763458251953","23.131763458251953"
"14442","23.032554626464844","23.032554626464844","23.032554626464844"
"14543","23.139623641967773","23.139623641967773","23.139623641967773"
"14644","23.125619888305664","23.125619888305664","23.125619888305664"
"14745","23.112966537475586","23.112966537475586","23.112966537475586"
"14846","23.144237518310547","23.144237518310547","23.144237518310547"
"14947","23.147014617919922","23.147014617919922","23.147014617919922"
"15048","23.1608829498291","23.1608829498291","23.1608829498291"
"15149","23.183496475219727","23.183496475219727","23.183496475219727"
"15250","23.201539993286133","23.201539993286133","23.201539993286133"
"15351","23.2009220123291","23.2009220123291","23.2009220123291"
"15452","23.137475967407227","23.137475967407227","23.137475967407227"
"15553","23.18234634399414","23.18234634399414","23.18234634399414"
"15654","23.18439483642578","23.18439483642578","23.18439483642578"
"15755","23.111488342285156","23.111488342285156","23.111488342285156"
"15856","23.129179000854492","23.129179000854492","23.129179000854492"
"15957","23.182401657104492","23.182401657104492","23.182401657104492"
"16058","23.21668243408203","23.21668243408203","23.21668243408203"
"16159","23.029560089111328","23.029560089111328","23.029560089111328"
"16260","23.224817276000977","23.224817276000977","23.224817276000977"
"16361","23.23366928100586","23.23366928100586","23.23366928100586"
"16462","23.246688842773438","23.246688842773438","23.246688842773438"
"16563","23.251514434814453","23.251514434814453","23.251514434814453"
"16664","23.2283935546875","23.2283935546875","23.2283935546875"
"16765","23.2305965423584","23.2305965423584","23.2305965423584"
"16866","23.251445770263672","23.251445770263672","23.251445770263672"
"16967","23.222578048706055","23.222578048706055","23.222578048706055"
"17068","23.259387969970703","23.259387969970703","23.259387969970703"
"17169","23.271076202392578","23.271076202392578","23.271076202392578"
"17270","23.2805233001709","23.2805233001709","23.2805233001709"
"17371","23.284805297851562","23.284805297851562","23.284805297851562"
"17472","23.268369674682617","23.268369674682617","23.268369674682617"
"17573","23.28976821899414","23.28976821899414","23.28976821899414"
"17674","23.3001766204834","23.3001766204834","23.3001766204834"
"17775","23.18105697631836","23.18105697631836","23.18105697631836"
"17876","23.233901977539062","23.233901977539062","23.233901977539062"
"17977","23.29611587524414","23.29611587524414","23.29611587524414"
"18078","23.280841827392578","23.280841827392578","23.280841827392578"
"18179","23.25399398803711","23.25399398803711","23.25399398803711"
"18280","23.3242244720459","23.3242244720459","23.3242244720459"
"18381","23.306934356689453","23.306934356689453","23.306934356689453"
"18482","23.31047821044922","23.31047821044922","23.31047821044922"
"18583","23.240697860717773","23.240697860717773","23.240697860717773"
"18684","23.304061889648438","23.304061889648438","23.304061889648438"
"18785","23.321577072143555","23.321577072143555","23.321577072143555"
"18886","23.29558753967285","23.29558753967285","23.29558753967285"
"18987","23.3437557220459","23.3437557220459","23.3437557220459"
"19088","23.301923751831055","23.301923751831055","23.301923751831055"
"19189","23.33637237548828","23.33637237548828","23.33637237548828"
"19290","23.357742309570312","23.357742309570312","23.357742309570312"
"19391","23.356182098388672","23.356182098388672","23.356182098388672"
"19492","23.33977508544922","23.33977508544922","23.33977508544922"
"19593","23.31128692626953","23.31128692626953","23.31128692626953"
"19694","23.36322784423828","23.36322784423828","23.36322784423828"
"19795","23.361162185668945","23.361162185668945","23.361162185668945"
"19896","23.345136642456055","23.345136642456055","23.345136642456055"
"19997","23.150468826293945","23.150468826293945","23.150468826293945"
"20098","23.353679656982422","23.353679656982422","23.353679656982422"
"20199","23.35053253173828","23.35053253173828","23.35053253173828"
"20300","23.374107360839844","23.374107360839844","23.374107360839844"
"20401","23.386625289916992","23.386625289916992","23.386625289916992"
"20502","23.40091323852539","23.40091323852539","23.40091323852539"
"20603","23.375680923461914","23.375680923461914","23.375680923461914"
"20704","23.38363265991211","23.38363265991211","23.38363265991211"
"20805","23.388315200805664","23.388315200805664","23.388315200805664"
"20906","23.365854263305664","23.365854263305664","23.365854263305664"
"21007","23.423940658569336","23.423940658569336","23.423940658569336"
"21108","23.40805435180664","23.40805435180664","23.40805435180664"
"21209","23.41988754272461","23.41988754272461","23.41988754272461"
"21310","23.423046112060547","23.423046112060547","23.423046112060547"
"21411","23.409439086914062","23.409439086914062","23.409439086914062"
"21512","23.407241821289062","23.407241821289062","23.407241821289062"
"21613","23.422948837280273","23.422948837280273","23.422948837280273"
"21714","23.388124465942383","23.388124465942383","23.388124465942383"
"21815","23.412221908569336","23.412221908569336","23.412221908569336"
"21916","23.40816879272461","23.40816879272461","23.40816879272461"
"22017","23.416040420532227","23.416040420532227","23.416040420532227"
"22118","23.4405574798584","23.4405574798584","23.4405574798584"
"22219","23.443086624145508","23.443086624145508","23.443086624145508"
"22320","23.436660766601562","23.436660766601562","23.436660766601562"
"22421","23.45248031616211","23.45248031616211","23.45248031616211"
"22522","23.444164276123047","23.444164276123047","23.444164276123047"
"22623","23.454317092895508","23.454317092895508","23.454317092895508"
"22724","23.413921356201172","23.413921356201172","23.413921356201172"
"22825","23.461767196655273","23.461767196655273","23.461767196655273"
"22926","23.449556350708008","23.449556350708008","23.449556350708008"
"23027","23.472911834716797","23.472911834716797","23.472911834716797"
"23128","23.461214065551758","23.461214065551758","23.461214065551758"
"23229","23.47899627685547","23.47899627685547","23.47899627685547"
"23330","23.385671615600586","23.385671615600586","23.385671615600586"
"23431","23.44483184814453","23.44483184814453","23.44483184814453"
"23532","23.465360641479492","23.465360641479492","23.465360641479492"
"23633","23.446542739868164","23.446542739868164","23.446542739868164"
"23734","23.484546661376953","23.484546661376953","23.484546661376953"
"23835","23.371049880981445","23.371049880981445","23.371049880981445"
"23936","23.459863662719727","23.459863662719727","23.459863662719727"
"24037","23.487043380737305","23.487043380737305","23.487043380737305"
"24138","23.45294952392578","23.45294952392578","23.45294952392578"
"24239","23.429519653320312","23.429519653320312","23.429519653320312"
"24340","23.488689422607422","23.488689422607422","23.488689422607422"
"24441","23.494731903076172","23.494731903076172","23.494731903076172"
"24542","23.489301681518555","23.489301681518555","23.489301681518555"
"24643","23.42400360107422","23.42400360107422","23.42400360107422"
"24744","23.484458923339844","23.484458923339844","23.484458923339844"
"24845","23.49687957763672","23.49687957763672","23.49687957763672"
"24946","23.4499568939209","23.4499568939209","23.4499568939209"
"25047","23.48943328857422","23.48943328857422","23.48943328857422"
"25148","23.506608963012695","23.506608963012695","23.506608963012695"
"25249","23.508460998535156","23.508460998535156","23.508460998535156"
"25350","23.507305145263672","23.507305145263672","23.507305145263672"
"25451","23.43755531311035","23.43755531311035","23.43755531311035"
"25552","23.524396896362305","23.524396896362305","23.524396896362305"
"25653","23.490406036376953","23.490406036376953","23.490406036376953"
"25754","23.514551162719727","23.514551162719727","23.514551162719727"
"25855","23.512584686279297","23.512584686279297","23.512584686279297"
"25956","23.490985870361328","23.490985870361328","23.490985870361328"
"26057","23.510583877563477","23.510583877563477","23.510583877563477"
"26158","23.5329532623291","23.5329532623291","23.5329532623291"
"26259","23.534780502319336","23.534780502319336","23.534780502319336"
"26360","23.49649429321289","23.49649429321289","23.49649429321289"
"26461","23.53705406188965","23.53705406188965","23.53705406188965"
"26562","23.458175659179688","23.458175659179688","23.458175659179688"
"26663","23.530710220336914","23.530710220336914","23.530710220336914"
"26764","23.538583755493164","23.538583755493164","23.538583755493164"
"26865","23.528413772583008","23.528413772583008","23.528413772583008"
"26966","23.531160354614258","23.531160354614258","23.531160354614258"
"27067","23.540000915527344","23.540000915527344","23.540000915527344"
"27168","23.518213272094727","23.518213272094727","23.518213272094727"
"27269","23.541831970214844","23.541831970214844","23.541831970214844"
"27370","23.53301429748535","23.53301429748535","23.53301429748535"
"27471","23.445669174194336","23.445669174194336","23.445669174194336"
"27572","23.563692092895508","23.563692092895508","23.563692092895508"
"27673","23.494482040405273","23.494482040405273","23.494482040405273"
"27774","23.545307159423828","23.545307159423828","23.545307159423828"
"27875","23.560083389282227","23.560083389282227","23.560083389282227"
"27976","23.512907028198242","23.512907028198242","23.512907028198242"
"28077","23.519617080688477","23.519617080688477","23.519617080688477"
"28178","23.461898803710938","23.461898803710938","23.461898803710938"
"28279","23.53365707397461","23.53365707397461","23.53365707397461"
"28380","23.573110580444336","23.573110580444336","23.573110580444336"
"28481","23.573570251464844","23.573570251464844","23.573570251464844"
"28582","23.57000160217285","23.57000160217285","23.57000160217285"
"28683","23.492475509643555","23.492475509643555","23.492475509643555"
"28784","23.57750701904297","23.57750701904297","23.57750701904297"
"28885","23.542909622192383","23.542909622192383","23.542909622192383"
"28986","23.5893611907959","23.5893611907959","23.5893611907959"
"29087","23.51543426513672","23.51543426513672","23.51543426513672"
"29188","23.559545516967773","23.559545516967773","23.559545516967773"
"29289","23.579345703125","23.579345703125","23.579345703125"
"29390","23.57846450805664","23.57846450805664","23.57846450805664"
"29491","23.569276809692383","23.569276809692383","23.569276809692383"
"29592","23.601572036743164","23.601572036743164","23.601572036743164"
"29693","23.60024642944336","23.60024642944336","23.60024642944336"
"29794","23.587230682373047","23.587230682373047","23.587230682373047"
"29895","23.597654342651367","23.597654342651367","23.597654342651367"
"29996","23.61328125","23.61328125","23.61328125"
"30097","23.60736846923828","23.60736846923828","23.60736846923828"
"30198","23.578630447387695","23.578630447387695","23.578630447387695"
"30299","23.60748291015625","23.60748291015625","23.60748291015625"
"30400","23.61859893798828","23.61859893798828","23.61859893798828"
"30501","23.623144149780273","23.623144149780273","23.623144149780273"
"30602","23.61160659790039","23.61160659790039","23.61160659790039"
"30703","23.630922317504883","23.630922317504883","23.630922317504883"
"30804","23.565635681152344","23.565635681152344","23.565635681152344"
"30905","23.611989974975586","23.611989974975586","23.611989974975586"
"31006","23.62226104736328","23.62226104736328","23.62226104736328"
"31107","23.558387756347656","23.558387756347656","23.558387756347656"
"31208","23.581605911254883","23.581605911254883","23.581605911254883"
"31309","23.62710189819336","23.62710189819336","23.62710189819336"
"31410","23.617521286010742","23.617521286010742","23.617521286010742"
"31511","23.635658264160156","23.635658264160156","23.635658264160156"
"31612","23.624622344970703","23.624622344970703","23.624622344970703"
"31713","23.61872100830078","23.61872100830078","23.61872100830078"
"31814","23.629575729370117","23.629575729370117","23.629575729370117"
"31915","23.626245498657227","23.626245498657227","23.626245498657227"
"32016","23.643190383911133","23.643190383911133","23.643190383911133"
"32117","23.64086151123047","23.64086151123047","23.64086151123047"
"32218","23.646757125854492","23.646757125854492","23.646757125854492"
"32319","23.653615951538086","23.653615951538086","23.653615951538086"
"32420","23.660423278808594","23.660423278808594","23.660423278808594"
"32521","23.65045928955078","23.65045928955078","23.65045928955078"
"32622","23.597368240356445","23.597368240356445","23.597368240356445"
"32723","23.66452407836914","23.66452407836914","23.66452407836914"
"32824","23.628023147583008","23.628023147583008","23.628023147583008"
"32925","23.668018341064453","23.668018341064453","23.668018341064453"
"33026","23.65180206298828","23.65180206298828","23.65180206298828"
"33127","23.661893844604492","23.661893844604492","23.661893844604492"
"33228","23.665132522583008","23.665132522583008","23.665132522583008"
"33329","23.6752986907959","23.6752986907959","23.6752986907959"
"33430","23.66476821899414","23.66476821899414","23.66476821899414"
"33531","23.516807556152344","23.516807556152344","23.516807556152344"
"33632","23.6718692779541","23.6718692779541","23.6718692779541"
"33733","23.64761734008789","23.64761734008789","23.64761734008789"
"33834","23.643051147460938","23.643051147460938","23.643051147460938"
"33935","23.6674861907959","23.6674861907959","23.6674861907959"
"34036","23.6766300201416","23.6766300201416","23.6766300201416"
"34137","23.643726348876953","23.643726348876953","23.643726348876953"
"34238","23.689851760864258","23.689851760864258","23.689851760864258"
"34339","23.630800247192383","23.630800247192383","23.630800247192383"
"34440","23.660327911376953","23.660327911376953","23.660327911376953"
"34541","23.679126739501953","23.679126739501953","23.679126739501953"
"34642","23.653949737548828","23.653949737548828","23.653949737548828"
"34743","23.694419860839844","23.694419860839844","23.694419860839844"
"34844","23.59784698486328","23.59784698486328","23.59784698486328"
"34945","23.698753356933594","23.698753356933594","23.698753356933594"
"35046","23.66634750366211","23.66634750366211","23.66634750366211"
"35147","23.672014236450195","23.672014236450195","23.672014236450195"
"35248","23.6965389251709","23.6965389251709","23.6965389251709"
"35349","23.69094467163086","23.69094467163086","23.69094467163086"
"35450","23.69149398803711","23.69149398803711","23.69149398803711"
"35551","23.683937072753906","23.683937072753906","23.683937072753906"
"35652","23.7203311920166","23.7203311920166","23.7203311920166"
"35753","23.700820922851562","23.700820922851562","23.700820922851562"
"35854","23.679096221923828","23.679096221923828","23.679096221923828"
"35955","23.717206954956055","23.717206954956055","23.717206954956055"
"36056","23.720714569091797","23.720714569091797","23.720714569091797"
"36157","23.713354110717773","23.713354110717773","23.713354110717773"
"36258","23.7078914642334","23.7078914642334","23.7078914642334"
"36359","23.711219787597656","23.711219787597656","23.711219787597656"
"36460","23.71538543701172","23.71538543701172","23.71538543701172"
"36561","23.7279052734375","23.7279052734375","23.7279052734375"
"36662","23.708356857299805","23.708356857299805","23.708356857299805"
"36763","23.731725692749023","23.731725692749023","23.731725692749023"
"36864","23.727886199951172","23.727886199951172","23.727886199951172"
"36965","23.732135772705078","23.732135772705078","23.732135772705078"
"37066","23.712875366210938","23.712875366210938","23.712875366210938"
"37167","23.705551147460938","23.705551147460938","23.705551147460938"
"37268","23.73914337158203","23.73914337158203","23.73914337158203"
"37369","23.741294860839844","23.741294860839844","23.741294860839844"
"37470","23.719980239868164","23.719980239868164","23.719980239868164"
"37571","23.73126983642578","23.73126983642578","23.73126983642578"
"37672","23.736495971679688","23.736495971679688","23.736495971679688"
"37773","23.737018585205078","23.737018585205078","23.737018585205078"
"37874","23.726238250732422","23.726238250732422","23.726238250732422"
"37975","23.711210250854492","23.711210250854492","23.711210250854492"
"38076","23.751550674438477","23.751550674438477","23.751550674438477"
"38177","23.75127601623535","23.75127601623535","23.75127601623535"
"38278","23.75299072265625","23.75299072265625","23.75299072265625"
"38379","23.491071701049805","23.491071701049805","23.491071701049805"
"38480","23.665821075439453","23.665821075439453","23.665821075439453"
"38581","23.723949432373047","23.723949432373047","23.723949432373047"
"38682","23.731294631958008","23.731294631958008","23.731294631958008"
"38783","23.735708236694336","23.735708236694336","23.735708236694336"
"38884","23.737337112426758","23.737337112426758","23.737337112426758"
"38985","23.712682723999023","23.712682723999023","23.712682723999023"
"39086","23.659046173095703","23.659046173095703","23.659046173095703"
"39187","23.74356460571289","23.74356460571289","23.74356460571289"
"39288","23.74139404296875","23.74139404296875","23.74139404296875"
"39389","23.76205062866211","23.76205062866211","23.76205062866211"
"39490","23.738027572631836","23.738027572631836","23.738027572631836"
"39591","23.57345199584961","23.57345199584961","23.57345199584961"
"39692","23.757143020629883","23.757143020629883","23.757143020629883"
"39793","23.760814666748047","23.760814666748047","23.760814666748047"
"39894","23.746671676635742","23.746671676635742","23.746671676635742"
"39995","23.764575958251953","23.764575958251953","23.764575958251953"
"40096","23.766225814819336","23.766225814819336","23.766225814819336"
"40197","23.620141983032227","23.620141983032227","23.620141983032227"
"40298","23.771780014038086","23.771780014038086","23.771780014038086"
"40399","23.77114486694336","23.77114486694336","23.77114486694336"
"40500","23.772680282592773","23.772680282592773","23.772680282592773"
"40601","23.779603958129883","23.779603958129883","23.779603958129883"
"40702","23.74286460876465","23.74286460876465","23.74286460876465"
"40803","23.763090133666992","23.763090133666992","23.763090133666992"
"40904","23.775100708007812","23.775100708007812","23.775100708007812"
"41005","23.770767211914062","23.770767211914062","23.770767211914062"
"41106","23.783231735229492","23.783231735229492","23.783231735229492"
"41207","23.733692169189453","23.733692169189453","23.733692169189453"
"41308","23.768238067626953","23.768238067626953","23.768238067626953"
"41409","23.780874252319336","23.780874252319336","23.780874252319336"
"41510","23.755151748657227","23.755151748657227","23.755151748657227"
"41611","23.776611328125","23.776611328125","23.776611328125"
"41712","23.789995193481445","23.789995193481445","23.789995193481445"
"41813","23.716981887817383","23.716981887817383","23.716981887817383"
"41914","23.78192710876465","23.78192710876465","23.78192710876465"
"42015","23.785051345825195","23.785051345825195","23.785051345825195"
"42116","23.7482967376709","23.7482967376709","23.7482967376709"
"42217","23.780954360961914","23.780954360961914","23.780954360961914"
"42318","23.784761428833008","23.784761428833008","23.784761428833008"
"42419","23.70077133178711","23.70077133178711","23.70077133178711"
"42520","23.767681121826172","23.767681121826172","23.767681121826172"
"42621","23.759292602539062","23.759292602539062","23.759292602539062"
"42722","23.7625732421875","23.7625732421875","23.7625732421875"
"42823","23.794633865356445","23.794633865356445","23.794633865356445"
"42924","23.789844512939453","23.789844512939453","23.789844512939453"
"43025","23.776487350463867","23.776487350463867","23.776487350463867"
"43126","23.803316116333008","23.803316116333008","23.803316116333008"
"43227","23.749238967895508","23.749238967895508","23.749238967895508"
"43328","23.79461669921875","23.79461669921875","23.79461669921875"
"43429","23.785327911376953","23.785327911376953","23.785327911376953"
