"Step","BPTT - eval/mean_reward","BPTT - eval/mean_reward__MIN","BPTT - eval/mean_reward__MAX"
"100","11.948786735534668","11.948786735534668","11.948786735534668"
"201","11.90991497039795","11.90991497039795","11.90991497039795"
"302","11.892064094543457","11.892064094543457","11.892064094543457"
"403","11.931144714355469","11.931144714355469","11.931144714355469"
"504","11.869512557983398","11.869512557983398","11.869512557983398"
"605","11.851726531982422","11.851726531982422","11.851726531982422"
"706","11.890668869018555","11.890668869018555","11.890668869018555"
"807","11.873322486877441","11.873322486877441","11.873322486877441"
"908","11.827554702758789","11.827554702758789","11.827554702758789"
"1009","11.860921859741211","11.860921859741211","11.860921859741211"
"1110","11.849930763244629","11.849930763244629","11.849930763244629"
"1211","11.86511516571045","11.86511516571045","11.86511516571045"
"1312","11.92819595336914","11.92819595336914","11.92819595336914"
"1413","11.902578353881836","11.902578353881836","11.902578353881836"
"1514","11.908681869506836","11.908681869506836","11.908681869506836"
"1615","11.899384498596191","11.899384498596191","11.899384498596191"
"1716","11.896047592163086","11.896047592163086","11.896047592163086"
"1817","11.884063720703125","11.884063720703125","11.884063720703125"
"1918","11.89480972290039","11.89480972290039","11.89480972290039"
"2019","11.852194786071777","11.852194786071777","11.852194786071777"
"2120","11.813928604125977","11.813928604125977","11.813928604125977"
"2221","11.90428352355957","11.90428352355957","11.90428352355957"
"2322","11.88517951965332","11.88517951965332","11.88517951965332"
"2423","11.8491792678833","11.8491792678833","11.8491792678833"
"2524","11.836156845092773","11.836156845092773","11.836156845092773"
"2625","11.81943130493164","11.81943130493164","11.81943130493164"
"2726","11.903951644897461","11.903951644897461","11.903951644897461"
"2827","11.862378120422363","11.862378120422363","11.862378120422363"
"2928","11.873946189880371","11.873946189880371","11.873946189880371"
"3029","11.925542831420898","11.925542831420898","11.925542831420898"
"3130","11.851373672485352","11.851373672485352","11.851373672485352"
"3231","11.845122337341309","11.845122337341309","11.845122337341309"
"3332","11.828341484069824","11.828341484069824","11.828341484069824"
"3433","11.875545501708984","11.875545501708984","11.875545501708984"
"3534","11.849443435668945","11.849443435668945","11.849443435668945"
"3635","11.859453201293945","11.859453201293945","11.859453201293945"
"3736","11.87826919555664","11.87826919555664","11.87826919555664"
"3837","11.844196319580078","11.844196319580078","11.844196319580078"
"3938","11.810774803161621","11.810774803161621","11.810774803161621"
"4039","11.836311340332031","11.836311340332031","11.836311340332031"
"4140","11.814111709594727","11.814111709594727","11.814111709594727"
"4241","11.88380241394043","11.88380241394043","11.88380241394043"
"4342","11.891300201416016","11.891300201416016","11.891300201416016"
"4443","11.860040664672852","11.860040664672852","11.860040664672852"
"4544","11.830866813659668","11.830866813659668","11.830866813659668"
"4645","11.858464241027832","11.858464241027832","11.858464241027832"
"4746","11.876562118530273","11.876562118530273","11.876562118530273"
"4847","11.85873794555664","11.85873794555664","11.85873794555664"
"4948","11.842577934265137","11.842577934265137","11.842577934265137"
"5049","11.837259292602539","11.837259292602539","11.837259292602539"
"5150","11.868130683898926","11.868130683898926","11.868130683898926"
"5251","11.784453392028809","11.784453392028809","11.784453392028809"
"5352","11.839463233947754","11.839463233947754","11.839463233947754"
"5453","11.832220077514648","11.832220077514648","11.832220077514648"
"5554","11.861783027648926","11.861783027648926","11.861783027648926"
"5655","11.86326789855957","11.86326789855957","11.86326789855957"
"5756","11.878849983215332","11.878849983215332","11.878849983215332"
"5857","11.897047996520996","11.897047996520996","11.897047996520996"
"5958","11.88577651977539","11.88577651977539","11.88577651977539"
"6059","11.858392715454102","11.858392715454102","11.858392715454102"
"6160","11.818561553955078","11.818561553955078","11.818561553955078"
"6261","11.838194847106934","11.838194847106934","11.838194847106934"
"6362","11.839691162109375","11.839691162109375","11.839691162109375"
"6463","11.85129165649414","11.85129165649414","11.85129165649414"
"6564","11.876740455627441","11.876740455627441","11.876740455627441"
"6665","11.918320655822754","11.918320655822754","11.918320655822754"
"6766","11.917577743530273","11.917577743530273","11.917577743530273"
"6867","11.933979034423828","11.933979034423828","11.933979034423828"
"6968","11.927966117858887","11.927966117858887","11.927966117858887"
"7069","11.883305549621582","11.883305549621582","11.883305549621582"
"7170","11.889787673950195","11.889787673950195","11.889787673950195"
"7271","11.865347862243652","11.865347862243652","11.865347862243652"
"7372","11.845170974731445","11.845170974731445","11.845170974731445"
"7473","11.89211654663086","11.89211654663086","11.89211654663086"
"7574","11.900473594665527","11.900473594665527","11.900473594665527"
"7675","11.923884391784668","11.923884391784668","11.923884391784668"
"7776","11.908173561096191","11.908173561096191","11.908173561096191"
"7877","11.903358459472656","11.903358459472656","11.903358459472656"
"7978","11.925651550292969","11.925651550292969","11.925651550292969"
"8079","11.865350723266602","11.865350723266602","11.865350723266602"
"8180","11.861924171447754","11.861924171447754","11.861924171447754"
"8281","11.893054008483887","11.893054008483887","11.893054008483887"
"8382","11.855563163757324","11.855563163757324","11.855563163757324"
"8483","11.855639457702637","11.855639457702637","11.855639457702637"
"8584","11.84970474243164","11.84970474243164","11.84970474243164"
"8685","11.876238822937012","11.876238822937012","11.876238822937012"
"8786","11.880928039550781","11.880928039550781","11.880928039550781"
"8887","11.862207412719727","11.862207412719727","11.862207412719727"
"8988","11.819846153259277","11.819846153259277","11.819846153259277"
"9089","11.885030746459961","11.885030746459961","11.885030746459961"
"9190","11.811391830444336","11.811391830444336","11.811391830444336"
"9291","11.786882400512695","11.786882400512695","11.786882400512695"
"9392","11.833403587341309","11.833403587341309","11.833403587341309"
"9493","11.839921951293945","11.839921951293945","11.839921951293945"
"9594","11.843423843383789","11.843423843383789","11.843423843383789"
"9695","11.826926231384277","11.826926231384277","11.826926231384277"
"9796","11.86021614074707","11.86021614074707","11.86021614074707"
"9897","11.901904106140137","11.901904106140137","11.901904106140137"
"9998","11.896322250366211","11.896322250366211","11.896322250366211"
"10099","11.890761375427246","11.890761375427246","11.890761375427246"
"10200","11.834580421447754","11.834580421447754","11.834580421447754"
"10301","11.877971649169922","11.877971649169922","11.877971649169922"
"10402","11.861708641052246","11.861708641052246","11.861708641052246"
"10503","11.822307586669922","11.822307586669922","11.822307586669922"
"10604","11.789079666137695","11.789079666137695","11.789079666137695"
"10705","11.866926193237305","11.866926193237305","11.866926193237305"
"10806","11.871565818786621","11.871565818786621","11.871565818786621"
"10907","11.853751182556152","11.853751182556152","11.853751182556152"
"11008","11.861425399780273","11.861425399780273","11.861425399780273"
"11109","11.834716796875","11.834716796875","11.834716796875"
"11210","11.839591026306152","11.839591026306152","11.839591026306152"
"11311","11.8031644821167","11.8031644821167","11.8031644821167"
"11412","11.830982208251953","11.830982208251953","11.830982208251953"
"11513","11.826944351196289","11.826944351196289","11.826944351196289"
"11614","11.84682846069336","11.84682846069336","11.84682846069336"
"11715","11.841352462768555","11.841352462768555","11.841352462768555"
"11816","11.835607528686523","11.835607528686523","11.835607528686523"
"11917","11.838292121887207","11.838292121887207","11.838292121887207"
"12018","11.842275619506836","11.842275619506836","11.842275619506836"
"12119","11.831716537475586","11.831716537475586","11.831716537475586"
"12220","11.869519233703613","11.869519233703613","11.869519233703613"
"12321","11.852828025817871","11.852828025817871","11.852828025817871"
"12422","11.840102195739746","11.840102195739746","11.840102195739746"
"12523","11.847718238830566","11.847718238830566","11.847718238830566"
"12624","11.87656021118164","11.87656021118164","11.87656021118164"
"12725","11.850869178771973","11.850869178771973","11.850869178771973"
"12826","11.88745403289795","11.88745403289795","11.88745403289795"
"12927","11.872325897216797","11.872325897216797","11.872325897216797"
"13028","11.85009479522705","11.85009479522705","11.85009479522705"
"13129","11.87662124633789","11.87662124633789","11.87662124633789"
"13230","11.891823768615723","11.891823768615723","11.891823768615723"
"13331","11.870283126831055","11.870283126831055","11.870283126831055"
"13432","11.822406768798828","11.822406768798828","11.822406768798828"
"13533","11.84408187866211","11.84408187866211","11.84408187866211"
"13634","11.80810260772705","11.80810260772705","11.80810260772705"
"13735","11.817526817321777","11.817526817321777","11.817526817321777"
"13836","11.847395896911621","11.847395896911621","11.847395896911621"
"13937","11.8717041015625","11.8717041015625","11.8717041015625"
"14038","11.848820686340332","11.848820686340332","11.848820686340332"
"14139","11.848735809326172","11.848735809326172","11.848735809326172"
"14240","11.87903118133545","11.87903118133545","11.87903118133545"
"14341","11.886153221130371","11.886153221130371","11.886153221130371"
"14442","11.876420974731445","11.876420974731445","11.876420974731445"
"14543","11.886075019836426","11.886075019836426","11.886075019836426"
"14644","11.892500877380371","11.892500877380371","11.892500877380371"
"14745","11.831791877746582","11.831791877746582","11.831791877746582"
"14846","11.843469619750977","11.843469619750977","11.843469619750977"
"14947","11.816571235656738","11.816571235656738","11.816571235656738"
"15048","11.751587867736816","11.751587867736816","11.751587867736816"
"15149","11.852155685424805","11.852155685424805","11.852155685424805"
"15250","11.872797012329102","11.872797012329102","11.872797012329102"
"15351","11.849889755249023","11.849889755249023","11.849889755249023"
"15452","11.849250793457031","11.849250793457031","11.849250793457031"
"15553","11.8262300491333","11.8262300491333","11.8262300491333"
"15654","11.845488548278809","11.845488548278809","11.845488548278809"
"15755","11.824298858642578","11.824298858642578","11.824298858642578"
"15856","11.84142780303955","11.84142780303955","11.84142780303955"
"15957","11.828411102294922","11.828411102294922","11.828411102294922"
"16058","11.797061920166016","11.797061920166016","11.797061920166016"
"16159","11.906586647033691","11.906586647033691","11.906586647033691"
"16260","11.89581298828125","11.89581298828125","11.89581298828125"
"16361","11.939128875732422","11.939128875732422","11.939128875732422"
"16462","11.927595138549805","11.927595138549805","11.927595138549805"
"16563","11.911124229431152","11.911124229431152","11.911124229431152"
