"Step","BPTT - eval/mean_reward","BPTT - eval/mean_reward__MIN","BPTT - eval/mean_reward__MAX"
"100","9.696526527404785","9.696526527404785","9.696526527404785"
"201","9.679386138916016","9.679386138916016","9.679386138916016"
"302","9.727417945861816","9.727417945861816","9.727417945861816"
"403","9.72357177734375","9.72357177734375","9.72357177734375"
"504","9.729032516479492","9.729032516479492","9.729032516479492"
"605","9.6746244430542","9.6746244430542","9.6746244430542"
"706","9.734358787536621","9.734358787536621","9.734358787536621"
"807","9.727142333984375","9.727142333984375","9.727142333984375"
"908","9.723308563232422","9.723308563232422","9.723308563232422"
"1009","9.730707168579102","9.730707168579102","9.730707168579102"
"1110","9.730047225952148","9.730047225952148","9.730047225952148"
"1211","9.692207336425781","9.692207336425781","9.692207336425781"
"1312","9.691908836364746","9.691908836364746","9.691908836364746"
"1413","9.719176292419434","9.719176292419434","9.719176292419434"
"1514","9.727194786071777","9.727194786071777","9.727194786071777"
"1615","9.69962215423584","9.69962215423584","9.69962215423584"
"1716","9.680861473083496","9.680861473083496","9.680861473083496"
"1817","9.687854766845703","9.687854766845703","9.687854766845703"
"1918","9.702271461486816","9.702271461486816","9.702271461486816"
"2019","9.679427146911621","9.679427146911621","9.679427146911621"
"2120","9.699345588684082","9.699345588684082","9.699345588684082"
"2221","9.705486297607422","9.705486297607422","9.705486297607422"
"2322","9.700989723205566","9.700989723205566","9.700989723205566"
"2423","9.710884094238281","9.710884094238281","9.710884094238281"
"2524","9.710382461547852","9.710382461547852","9.710382461547852"
"2625","9.702914237976074","9.702914237976074","9.702914237976074"
"2726","9.704460144042969","9.704460144042969","9.704460144042969"
"2827","9.692797660827637","9.692797660827637","9.692797660827637"
"2928","9.68309211730957","9.68309211730957","9.68309211730957"
"3029","9.6840181350708","9.6840181350708","9.6840181350708"
"3130","9.7021484375","9.7021484375","9.7021484375"
"3231","9.722848892211914","9.722848892211914","9.722848892211914"
"3332","9.689363479614258","9.689363479614258","9.689363479614258"
"3433","9.713735580444336","9.713735580444336","9.713735580444336"
"3534","9.719819068908691","9.719819068908691","9.719819068908691"
"3635","9.699140548706055","9.699140548706055","9.699140548706055"
"3736","9.712512969970703","9.712512969970703","9.712512969970703"
"3837","9.70255184173584","9.70255184173584","9.70255184173584"
"3938","9.682175636291504","9.682175636291504","9.682175636291504"
"4039","9.708857536315918","9.708857536315918","9.708857536315918"
"4140","9.717230796813965","9.717230796813965","9.717230796813965"
"4241","9.734785079956055","9.734785079956055","9.734785079956055"
"4342","9.728845596313477","9.728845596313477","9.728845596313477"
"4443","9.71139144897461","9.71139144897461","9.71139144897461"
"4544","9.709630966186523","9.709630966186523","9.709630966186523"
"4645","9.716573715209961","9.716573715209961","9.716573715209961"
"4746","9.722085952758789","9.722085952758789","9.722085952758789"
"4847","9.716165542602539","9.716165542602539","9.716165542602539"
"4948","9.721348762512207","9.721348762512207","9.721348762512207"
"5049","9.723516464233398","9.723516464233398","9.723516464233398"
"5150","9.707204818725586","9.707204818725586","9.707204818725586"
"5251","9.696243286132812","9.696243286132812","9.696243286132812"
"5352","9.713589668273926","9.713589668273926","9.713589668273926"
"5453","9.703980445861816","9.703980445861816","9.703980445861816"
"5554","9.700830459594727","9.700830459594727","9.700830459594727"
"5655","9.708309173583984","9.708309173583984","9.708309173583984"
"5756","9.706701278686523","9.706701278686523","9.706701278686523"
"5857","9.725958824157715","9.725958824157715","9.725958824157715"
"5958","9.721192359924316","9.721192359924316","9.721192359924316"
"6059","9.734628677368164","9.734628677368164","9.734628677368164"
"6160","9.720219612121582","9.720219612121582","9.720219612121582"
"6261","9.739339828491211","9.739339828491211","9.739339828491211"
"6362","9.726787567138672","9.726787567138672","9.726787567138672"
"6463","9.741264343261719","9.741264343261719","9.741264343261719"
"6564","9.726880073547363","9.726880073547363","9.726880073547363"
"6665","9.723286628723145","9.723286628723145","9.723286628723145"
"6766","9.720887184143066","9.720887184143066","9.720887184143066"
"6867","9.710685729980469","9.710685729980469","9.710685729980469"
"6968","9.727968215942383","9.727968215942383","9.727968215942383"
"7069","9.725032806396484","9.725032806396484","9.725032806396484"
"7170","9.723621368408203","9.723621368408203","9.723621368408203"
"7271","9.720242500305176","9.720242500305176","9.720242500305176"
"7372","9.715751647949219","9.715751647949219","9.715751647949219"
"7473","9.725874900817871","9.725874900817871","9.725874900817871"
"7574","9.732234954833984","9.732234954833984","9.732234954833984"
"7675","9.717697143554688","9.717697143554688","9.717697143554688"
"7776","9.71249008178711","9.71249008178711","9.71249008178711"
"7877","9.70166301727295","9.70166301727295","9.70166301727295"
"7978","9.726269721984863","9.726269721984863","9.726269721984863"
"8079","9.702509880065918","9.702509880065918","9.702509880065918"
"8180","9.73636245727539","9.73636245727539","9.73636245727539"
"8281","9.730512619018555","9.730512619018555","9.730512619018555"
"8382","9.750243186950684","9.750243186950684","9.750243186950684"
"8483","11.013293266296387","11.013293266296387","11.013293266296387"
"8584","12.714791297912598","12.714791297912598","12.714791297912598"
"8685","13.004741668701172","13.004741668701172","13.004741668701172"
"8786","13.55948257446289","13.55948257446289","13.55948257446289"
"8887","13.81383991241455","13.81383991241455","13.81383991241455"
"8988","14.090295791625977","14.090295791625977","14.090295791625977"
"9089","14.334026336669922","14.334026336669922","14.334026336669922"
"9190","14.387202262878418","14.387202262878418","14.387202262878418"
"9291","14.622306823730469","14.622306823730469","14.622306823730469"
"9392","14.679152488708496","14.679152488708496","14.679152488708496"
"9493","14.632892608642578","14.632892608642578","14.632892608642578"
"9594","14.822404861450195","14.822404861450195","14.822404861450195"
"9695","14.645583152770996","14.645583152770996","14.645583152770996"
"9796","14.991904258728027","14.991904258728027","14.991904258728027"
"9897","15.037297248840332","15.037297248840332","15.037297248840332"
"9998","15.009389877319336","15.009389877319336","15.009389877319336"
"10099","15.099042892456055","15.099042892456055","15.099042892456055"
"10200","15.166712760925293","15.166712760925293","15.166712760925293"
"10301","15.04525375366211","15.04525375366211","15.04525375366211"
"10402","15.189425468444824","15.189425468444824","15.189425468444824"
"10503","15.125897407531738","15.125897407531738","15.125897407531738"
"10604","15.058183670043945","15.058183670043945","15.058183670043945"
"10705","15.243703842163086","15.243703842163086","15.243703842163086"
"10806","15.176872253417969","15.176872253417969","15.176872253417969"
"10907","15.23388957977295","15.23388957977295","15.23388957977295"
"11008","15.237881660461426","15.237881660461426","15.237881660461426"
"11109","14.750757217407227","14.750757217407227","14.750757217407227"
"11210","15.277480125427246","15.277480125427246","15.277480125427246"
"11311","15.219194412231445","15.219194412231445","15.219194412231445"
"11412","15.273690223693848","15.273690223693848","15.273690223693848"
"11513","15.295856475830078","15.295856475830078","15.295856475830078"
"11614","15.309490203857422","15.309490203857422","15.309490203857422"
"11715","15.320348739624023","15.320348739624023","15.320348739624023"
"11816","15.239201545715332","15.239201545715332","15.239201545715332"
"11917","15.09481430053711","15.09481430053711","15.09481430053711"
"12018","15.331110000610352","15.331110000610352","15.331110000610352"
"12119","15.306375503540039","15.306375503540039","15.306375503540039"
"12220","15.336801528930664","15.336801528930664","15.336801528930664"
"12321","15.058599472045898","15.058599472045898","15.058599472045898"
"12422","15.332355499267578","15.332355499267578","15.332355499267578"
"12523","15.304028511047363","15.304028511047363","15.304028511047363"
"12624","15.269808769226074","15.269808769226074","15.269808769226074"
"12725","15.263371467590332","15.263371467590332","15.263371467590332"
"12826","15.357049942016602","15.357049942016602","15.357049942016602"
"12927","15.312531471252441","15.312531471252441","15.312531471252441"
"13028","15.115081787109375","15.115081787109375","15.115081787109375"
"13129","15.371413230895996","15.371413230895996","15.371413230895996"
"13230","15.286224365234375","15.286224365234375","15.286224365234375"
"13331","15.380413055419922","15.380413055419922","15.380413055419922"
"13432","15.339042663574219","15.339042663574219","15.339042663574219"
"13533","15.188365936279297","15.188365936279297","15.188365936279297"
"13634","15.363812446594238","15.363812446594238","15.363812446594238"
"13735","15.402575492858887","15.402575492858887","15.402575492858887"
"13836","15.179882049560547","15.179882049560547","15.179882049560547"
"13937","15.402265548706055","15.402265548706055","15.402265548706055"
"14038","15.421819686889648","15.421819686889648","15.421819686889648"
"14139","15.395368576049805","15.395368576049805","15.395368576049805"
"14240","15.357741355895996","15.357741355895996","15.357741355895996"
"14341","11.436681747436523","11.436681747436523","11.436681747436523"
"14442","7.393513202667236","7.393513202667236","7.393513202667236"
"14543","9.026509284973145","9.026509284973145","9.026509284973145"
"14644","9.694040298461914","9.694040298461914","9.694040298461914"
"14745","10.12948989868164","10.12948989868164","10.12948989868164"
"14846","10.28679084777832","10.28679084777832","10.28679084777832"
"14947","10.376228332519531","10.376228332519531","10.376228332519531"
"15048","10.373851776123047","10.373851776123047","10.373851776123047"
"15149","10.989548683166504","10.989548683166504","10.989548683166504"
"15250","11.390578269958496","11.390578269958496","11.390578269958496"
"15351","11.935586929321289","11.935586929321289","11.935586929321289"
"15452","11.184993743896484","11.184993743896484","11.184993743896484"
"15553","10.303288459777832","10.303288459777832","10.303288459777832"
"15654","12.447985649108887","12.447985649108887","12.447985649108887"
